iter	Passed	Remaining
739	1098	386
740	1100	384
741	1101	382
742	1103	381
743	1104	380
744	1106	378
745	1107	377
746	1108	375
747	1110	374
748	1111	372
749	1113	371
750	1114	369
751	1115	367
752	1117	366
753	1118	365
754	1120	363
755	1121	361
756	1122	360
757	1124	358
758	1125	357
759	1126	355
760	1127	354
761	1128	352
762	1129	350
763	1130	349
764	1132	347
765	1133	346
766	1135	344
767	1136	343
768	1137	341
769	1139	340
770	1140	338
771	1141	337
772	1142	335
773	1144	334
774	1145	332
775	1146	331
776	1148	329
777	1149	328
778	1151	326
779	1152	325
780	1153	323
781	1155	321
782	1156	320
783	1157	318
784	1159	317
785	1160	315
786	1161	314
787	1162	312
788	1164	311
789	1166	309
790	1167	308
791	1168	306
792	1169	305
793	1171	303
794	1172	302
795	1173	300
796	1174	299
797	1175	297
798	1176	296
799	1178	294
800	1179	293
801	1181	291
802	1182	290
803	1183	288
804	1185	287
805	1186	285
806	1187	283
807	1188	282
808	1189	280
809	1191	279
810	1192	277
811	1193	276
812	1195	275
813	1197	273
814	1198	272
815	1200	270
816	1201	269
817	1202	267
818	1204	266
819	1205	264
820	1206	263
821	1207	261
822	1209	260
823	1211	258
824	1213	257
825	1214	255
826	1215	254
827	1217	252
828	1218	251
829	1219	249
830	1220	248
831	1222	246
832	1223	245
833	1224	243
834	1226	242
835	1227	240
836	1229	239
837	1231	238
838	1232	236
839	1233	235
840	1235	233
841	1236	232
842	1237	230
843	1238	228
844	1241	227
845	1242	226
846	1244	224
847	1245	223
848	1247	221
849	1248	220
850	1250	218
851	1251	217
852	1252	215
853	1254	214
854	1256	213
855	1258	211
856	1260	210
857	1261	208
858	1262	207
859	1264	205
860	1265	204
861	1266	202
862	1267	201
863	1269	199
864	1271	198
865	1272	196
866	1274	195
867	1276	194
868	1277	192
869	1279	191
870	1280	189
871	1281	188
872	1283	186
873	1286	185
874	1287	183
875	1289	182
876	1290	180
877	1291	179
878	1292	177
879	1293	176
880	1295	174
881	1296	173
882	1297	171
883	1299	170
884	1301	169
885	1302	167
886	1304	166
887	1305	164
888	1306	163
889	1308	161
890	1309	160
891	1310	158
892	1311	157
893	1313	155
894	1314	154
895	1316	152
896	1317	151
897	1318	149
898	1320	148
899	1321	146
900	1322	145
901	1323	143
902	1324	142
903	1326	140
904	1327	139
905	1329	137
906	1330	136
907	1331	134
908	1333	133
909	1334	131
910	1335	130
911	1336	128
912	1337	127
913	1339	125
914	1340	124
915	1341	123
916	1343	121
917	1344	120
918	1346	118
919	1347	117
920	1348	115
921	1349	114
922	1350	112
923	1352	111
924	1353	109
925	1354	108
926	1355	106
927	1356	105
928	1357	103
929	1358	102
930	1360	100
931	1362	99
932	1363	97
933	1364	96
934	1365	94
935	1367	93
936	1368	91
937	1369	90
938	1370	89
939	1372	87
940	1373	86
941	1375	84
942	1377	83
943	1378	81
944	1379	80
945	1380	78
946	1381	77
947	1383	75
948	1384	74
949	1386	72
950	1388	71
951	1389	70
952	1391	68
953	1392	67
954	1394	65
955	1395	64
956	1396	62
957	1397	61
958	1398	59
959	1401	58
960	1402	56
961	1404	55
962	1405	53
963	1406	52
964	1408	51
965	1409	49
966	1410	48
967	1411	46
968	1412	45
969	1414	43
970	1416	42
971	1417	40
972	1418	39
973	1419	37
974	1421	36
975	1422	34
976	1423	33
977	1424	32
978	1426	30
979	1427	29
980	1428	27
981	1429	26
982	1431	24
983	1433	23
984	1434	21
985	1436	20
986	1437	18
987	1438	17
988	1440	16
989	1441	14
990	1442	13
991	1443	11
992	1444	10
993	1446	8
994	1448	7
995	1449	5
996	1450	4
997	1451	2
998	1453	1
999	1454	0
